1a06_A	17	145	Q63450	nonHumanMammal
3iay_A	300	396	P15436	plantfungi
3iay_A	300	432	P15436	plantfungi
3iay_A	300	533	P15436	plantfungi
3iay_A	302	680	P15436	plantfungi
3iay_A	328	668	P15436	plantfungi
3iay_A	34	504	P15436	plantfungi
3iay_A	343	705	P15436	plantfungi
3iay_A	347	668	P15436	plantfungi
3iay_A	36	397	P15436	plantfungi
3iay_A	36	863	P15436	plantfungi
3iay_A	36	879	P15436	plantfungi
3iay_A	364	670	P15436	plantfungi
3iay_A	365	687	P15436	plantfungi
3iay_A	365	709	P15436	plantfungi
3iay_A	379	525	P15436	plantfungi
3iay_A	38	533	P15436	plantfungi
3iay_A	382	794	P15436	plantfungi
3iay_A	397	533	P15436	plantfungi
3iay_A	397	674	P15436	plantfungi
3iay_A	397	709	P15436	plantfungi
3iay_A	397	829	P15436	plantfungi
3iay_A	40	146	P15436	plantfungi
3iay_A	412	759	P15436	plantfungi
3iay_A	413	742	P15436	plantfungi
3iay_A	414	526	P15436	plantfungi
3iay_A	416	613	P15436	plantfungi
3iay_A	416	671	P15436	plantfungi
3iay_A	416	878	P15436	plantfungi
3iay_A	419	645	P15436	plantfungi
3iay_A	440	525	P15436	plantfungi
3iay_A	440	668	P15436	plantfungi
3iay_A	440	794	P15436	plantfungi
3iay_A	440	818	P15436	plantfungi
3iay_A	440	841	P15436	plantfungi
3iay_A	440	874	P15436	plantfungi
3iay_A	462	709	P15436	plantfungi
3iay_A	462	804	P15436	plantfungi
3iay_A	464	878	P15436	plantfungi
3iay_A	465	674	P15436	plantfungi
3iay_A	471	647	P15436	plantfungi
3iay_A	474	823	P15436	plantfungi
3iay_A	479	794	P15436	plantfungi
3iay_A	48	336	P15436	plantfungi
3iay_A	483	709	P15436	plantfungi
3iay_A	483	879	P15436	plantfungi
3iay_A	484	614	P15436	plantfungi
3iay_A	484	664	P15436	plantfungi
3iay_A	484	761	P15436	plantfungi
3iay_A	485	861	P15436	plantfungi
3iay_A	486	682	P15436	plantfungi
3iay_A	486	842	P15436	plantfungi
3iay_A	487	645	P15436	plantfungi
3iay_A	487	725	P15436	plantfungi
3iay_A	487	742	P15436	plantfungi
3iay_A	487	778	P15436	plantfungi
3iay_A	493	817	P15436	plantfungi
3iay_A	508	682	P15436	plantfungi
3iay_A	518	617	P15436	plantfungi
3iay_A	52	389	P15436	plantfungi
3iay_A	546	672	P15436	plantfungi
3iay_A	550	692	P15436	plantfungi
3iay_A	552	841	P15436	plantfungi
3iay_A	553	717	P15436	plantfungi
3iay_A	553	756	P15436	plantfungi
3iay_A	553	772	P15436	plantfungi
3iay_A	553	795	P15436	plantfungi
3iay_A	555	612	P15436	plantfungi
3iay_A	559	884	P15436	plantfungi
3iay_A	560	645	P15436	plantfungi
3iay_A	561	814	P15436	plantfungi
3iay_A	561	867	P15436	plantfungi
3iay_A	567	667	P15436	plantfungi
3iay_A	573	683	P15436	plantfungi
3iay_A	574	760	P15436	plantfungi
3iay_A	577	718	P15436	plantfungi
3iay_A	588	736	P15436	plantfungi
3iay_A	590	759	P15436	plantfungi
3iay_A	594	793	P15436	plantfungi
3iay_A	626	784	P15436	plantfungi
3iay_A	655	768	P15436	plantfungi
3iay_A	656	814	P15436	plantfungi
3iay_A	656	845	P15436	plantfungi
3iay_A	658	863	P15436	plantfungi
3iay_A	658	884	P15436	plantfungi
3iay_A	674	874	P15436	plantfungi
3iay_A	682	763	P15436	plantfungi
3iay_A	684	792	P15436	plantfungi
3iay_A	696	871	P15436	plantfungi
3iay_A	699	849	P15436	plantfungi
3iay_A	99	389	P15436	plantfungi
3ib6_A	1	145	nan	nan
3ib6_A	1	87	nan	nan
3ib6_A	2	127	nan	nan
3ib6_A	2	169	nan	nan
3ib6_A	3	106	nan	nan
3ib7_A	6	268	P9WP65	bacteria
3ib7_A	7	209	P9WP65	bacteria
3ib7_A	7	228	P9WP65	bacteria
3ib7_A	8	99	P9WP65	bacteria
3ib7_A	91	257	P9WP65	bacteria
3ibt_A	24	126	O33472	bacteria
3ibt_A	5	107	O33472	bacteria
3iby_A	1	162	Q8GNS3	bacteria
3icu_A	60	164	Q8TEB7	human
3idv_A	1	104	P13667	human
3idv_A	8	234	P13667	human
3iev_A	8	133	O67800	bacteria
3ihp_A	475	557	P45974	human
3ihy_A	256	478	Q8NEB9	human
3ihy_A	283	487	Q8NEB9	human
3ihy_A	335	487	Q8NEB9	human
3ihy_A	393	532	Q8NEB9	human
3ii5_A	1	199	P15056	human
3ijr_A	6	68	Q81UV8	bacteria
3ilx_A	14	138	Q97UQ9	bacteria
3ilx_A	14	84	Q97UQ9	bacteria
3ima_B	9	56	Q8L5J8	plantfungi
3imk_A	24	112	Q2LU76	bacteria
3imk_A	4	109	Q2LU76	bacteria
3imk_A	5	159	Q2LU76	bacteria
3inv_A	19	515	Q27793	invertebrate
3inv_A	236	481	Q27793	invertebrate
3inv_A	236	515	Q27793	invertebrate
3iog_A	20	226	P26918	bacteria
3iog_A	31	82	P26918	bacteria
3iox_A	2	178	A8R5D9	bacteria
3iox_A	373	489	A8R5D9	bacteria
3iox_A	392	490	A8R5D9	bacteria
3iox_A	410	489	A8R5D9	bacteria
3is5_A	107	206	nan	nan
3is5_A	113	253	nan	nan
3is5_A	36	253	nan	nan
3is5_A	53	253	nan	nan
3isz_A	3	104	P44514	bacteria
3itq_A	1	196	Q81LZ8	bacteria
3itq_A	105	198	Q81LZ8	bacteria
3itq_A	33	198	Q81LZ8	bacteria
3iuc_A	1	379	P11021	human
3iv1_A	1	79	nan	nan
3ive_A	308	493	A0A0H2VD83	bacteria
3ive_A	317	454	A0A0H2VD83	bacteria
3ivp_A	2	78	Q180H4	bacteria
3iw4_C	110	218	P17252	human
3iw4_C	115	238	P17252	human
3iw4_C	16	245	P17252	human
3iw4_C	16	269	P17252	human
3iw4_C	18	219	P17252	human
3iw4_C	57	182	P17252	human
3iw4_C	57	210	P17252	human
3iw4_C	58	229	P17252	human
3iwe_A	5	198	P30419	human
3iyd_D	182	673	P0A8T7	bacteria
3iyd_D	253	668	P0A8T7	bacteria
3iyd_D	281	451	P0A8T7	bacteria
3izx_A	1	1021	Q914N6	virus
3izx_A	1	1058	Q914N6	virus
3izx_A	10	972	Q914N6	virus
3izx_A	30	1046	Q914N6	virus
3izx_A	7	1004	Q914N6	virus
3izx_B	1	1192	Q6TS43	virus
3izx_B	211	688	Q6TS43	virus
3izx_D	1	291	C6K2M8	virus
3izy_P	2	261	P46198	nonHumanMammal
3j04_B	73	142	P02612	nonMammalVertebrate
3j0a_A	24	163	O60602	human
3j0a_A	24	562	O60602	human
3j0a_A	49	164	O60602	human
3j0a_A	505	565	O60602	human
3j0a_A	73	536	O60602	human
3j0a_A	73	558	O60602	human
3j0c_B	1	424	P05674	virus
3j0c_C	1	163	P05674	virus
3j0g_M	1	60	P05674	virus
3j17_D	1	292	C6K2M8	virus
3j26_A	1	509	B4YNG0	virus
3j26_N	1	363	I0CES9	virus
3j27_A	1	496	P14340	virus
3j27_A	167	496	P14340	virus
3j27_A	211	496	P14340	virus
3j27_A	234	496	P14340	virus
3j27_A	276	496	P14340	virus
3j27_B	1	73	P14340	virus
3j2v_C	1	34	P03149	virus
3j4j_A	69	327	P48515	bacteria
3j5s_D	156	296	P0A9W3	bacteria
3j5y_B	30	224	P15170	human
3j5y_B	30	428	P15170	human
3j5y_B	35	156	P15170	human
3j5y_B	53	295	P15170	human
3j5y_B	56	316	P15170	human
3j5y_B	56	385	P15170	human
3j5y_B	56	428	P15170	human
3j5y_B	59	202	P15170	human
3j5y_B	6	162	P15170	human
3j5y_B	6	202	P15170	human
3j5y_B	6	295	P15170	human
3j5y_B	6	318	P15170	human
3j5y_B	6	428	P15170	human
3j5y_B	64	166	P15170	human
3j5y_B	8	121	P15170	human
3j5y_B	8	224	P15170	human
3j5y_B	84	282	P15170	human
3j5y_B	9	267	P15170	human
3j6q_A	1	1058	Q914N6	virus
3j8g_X	2	146	P0A6P5	bacteria
3j94_A	1	189	P18708	nonHumanMammal
3j94_A	1	232	P18708	nonHumanMammal
3j94_A	1	73	P18708	nonHumanMammal
3j94_A	2	134	P18708	nonHumanMammal
3j94_A	29	232	P18708	nonHumanMammal
3j94_A	35	121	P18708	nonHumanMammal
3j94_A	35	155	P18708	nonHumanMammal
3j94_A	35	172	P18708	nonHumanMammal
3j94_A	6	96	P18708	nonHumanMammal
3j96_M	2	131	P60881	nonHumanMammal
3j9d_A	135	722	B7U676	virus
3j9d_A	190	747	B7U676	virus
3j9d_A	384	747	B7U676	virus
3j9d_A	511	746	B7U676	virus
3j9d_A	636	747	B7U676	virus
3j9e_D	1	521	K7QP12	virus
3j9e_D	1	77	K7QP12	virus
3j9e_D	1	96	K7QP12	virus
3j9e_D	124	229	K7QP12	virus
3j9e_D	152	287	K7QP12	virus
3j9e_D	225	450	K7QP12	virus
3j9e_D	225	521	K7QP12	virus
3j9e_D	450	521	K7QP12	virus
3j9e_D	63	175	K7QP12	virus
3j9p_D	1	130	O75762	human
3j9p_D	102	148	O75762	human
3j9p_D	112	128	O75762	human
3j9p_D	4	165	O75762	human
3jax_A	809	939	A0A0R4I956	invertebrate
3jax_A	825	939	A0A0R4I956	invertebrate
3jax_A	841	939	A0A0R4I956	invertebrate
3jax_A	860	939	A0A0R4I956	invertebrate
3jb0_A	1	1058	Q914N6	virus
3jb0_A	178	1058	Q914N6	virus
3jb0_A	519	1058	Q914N6	virus
3jb0_B	1	1185	Q6TS43	virus
3jb0_B	31	1185	Q6TS43	virus
3jb0_B	50	1172	Q6TS43	virus
3jb0_D	6	293	C6K2M8	virus
3jb6_A	1	1197	D0EZK6	virus
3jb6_A	43	1185	D0EZK6	virus
3jb6_A	59	1139	D0EZK6	virus
3jb6_A	60	1185	D0EZK6	virus
3jb6_B	1	499	Q9IR43	virus
3jb6_B	23	241	Q9IR43	virus
3jb6_B	25	497	Q9IR43	virus
3jb6_B	286	498	Q9IR43	virus
3jb6_B	87	475	Q9IR43	virus
3jbh_A	824	888	A0A140UGH3	invertebrate
3jbh_A	829	962	A0A140UGH3	invertebrate
3jbh_A	845	963	A0A140UGH3	invertebrate
3jbh_A	861	962	A0A140UGH3	invertebrate
3jbh_A	877	962	A0A140UGH3	invertebrate
3jbh_A	896	962	A0A140UGH3	invertebrate
3jbh_A	912	962	A0A140UGH3	invertebrate
3jbh_A	929	962	A0A140UGH3	invertebrate
3jbh_A	945	962	A0A140UGH3	invertebrate
3jbr_F	150	334	P13806	nonHumanMammal
3jbr_F	182	318	P13806	nonHumanMammal
3jca_A	42	173	P03365	virus
3jrx_A	4	366	O00763	human
3js9_A	1	144	A7ANF8	invertebrate
3js9_A	1	71	A7ANF8	invertebrate
3js9_A	71	133	A7ANF8	invertebrate
3jsl_A	6	309	Q9AIU7	bacteria
3jur_A	5	415	Q9WYR8	bacteria
3jvb_A	1	204	O37157	virus
3jw6_A	35	192	P04871	virus
3jxu_A	162	373	P0DMV8	human
3k0z_A	20	150	Q73CY4	bacteria
3k1z_A	106	233	Q9BSH5	human
3k1z_A	107	208	Q9BSH5	human
3k1z_A	2	233	Q9BSH5	human
3k2l_A	196	280	Q92630	human
3k2l_A	78	280	Q92630	human
3k2o_A	109	336	Q6NYC1	human
3k45_A	1	43	P00375	nonHumanMammal
3k59_A	398	500	P21189	bacteria
3k59_A	458	558	P21189	bacteria
3k59_A	463	635	P21189	bacteria
3k59_A	478	551	P21189	bacteria
3k59_A	492	636	P21189	bacteria
3k59_A	494	579	P21189	bacteria
3k8t_A	180	337	P21524	plantfungi
3k8t_A	289	337	P21524	plantfungi
3k8t_A	292	403	P21524	plantfungi
3k8t_A	306	361	P21524	plantfungi
3k8t_A	312	528	P21524	plantfungi
3k8t_A	329	533	P21524	plantfungi
3k8t_A	364	533	P21524	plantfungi
3k8t_A	364	551	P21524	plantfungi
3k8t_A	40	156	P21524	plantfungi
3k8t_A	449	522	P21524	plantfungi
3k8t_A	460	637	P21524	plantfungi
3k92_A	195	263	P39633	bacteria
3k9v_A	1	154	Q09128	nonHumanMammal
3kbe_A	13	122	P34697	invertebrate
3kbe_A	32	122	P34697	invertebrate
3kdj_B	5	266	P49597	plantfungi
3kea_A	33	284	Q6IV60	virus
3kea_A	49	219	Q6IV60	virus
3kea_A	5	222	Q6IV60	virus
3kea_A	6	122	Q6IV60	virus
3kkg_A	35	144	Q28SU5	bacteria
3kkg_A	9	144	Q28SU5	bacteria
3kkq_A	4	130	O08989	nonHumanMammal
3kn5_A	18	177	O75582	human
3kna_A	18	475	Q9QCE3	virus
3kna_A	36	448	Q9QCE3	virus
3kpa_A	78	136	Q4QF57	invertebrate
3kta_A	1	165	Q8TZY2	bacteria
3kta_A	2	128	Q8TZY2	bacteria
3kta_A	24	165	Q8TZY2	bacteria
3kvg_A	108	242	Q5CPP8	invertebrate
3kvg_A	141	247	Q5CPP8	invertebrate
3kvh_A	40	167	Q9BRJ7	human
3kvt_A	1	104	O76457	invertebrate
3kvt_A	1	88	O76457	invertebrate
3kvt_A	4	65	O76457	invertebrate
3kw0_A	1	170	Q74NK7	bacteria
3kw0_A	1	186	Q74NK7	bacteria
3kwo_A	2	150	Q0P891	bacteria
3kws_A	152	264	A6LIL3	bacteria
3kyh_C	207	256	Q01159	plantfungi
3kyh_C	208	388	Q01159	plantfungi
3kyh_C	296	386	Q01159	plantfungi
3kyh_C	299	370	Q01159	plantfungi
3kyh_C	320	368	Q01159	plantfungi
3kyh_C	320	388	Q01159	plantfungi
3kyh_C	39	331	Q01159	plantfungi
3kzx_A	1	186	Q2GHD1	bacteria
3kzx_A	81	186	Q2GHD1	bacteria
3kzx_A	84	205	Q2GHD1	bacteria
3l0a_A	3	199	C4ZCC6	bacteria
3l0i_B	5	145	P62820	human
3l0w_B	1	76	P15873	plantfungi
3l0w_B	1	97	P15873	plantfungi
3l0w_B	35	102	P15873	plantfungi
3l2o_B	2	50	Q9UKT5	human
3l2p_A	10	178	P49916	human
3l2p_A	109	535	P49916	human
3l2p_A	136	532	P49916	human
3l2p_A	167	535	P49916	human
3l2p_A	182	474	P49916	human
3l2p_A	183	532	P49916	human
3l2p_A	2	535	P49916	human
3l2p_A	203	414	P49916	human
3l2p_A	203	446	P49916	human
3l2p_A	203	481	P49916	human
3l2p_A	203	517	P49916	human
3l2p_A	203	533	P49916	human
3l2p_A	229	410	P49916	human
3l2p_A	232	481	P49916	human
3l2p_A	235	517	P49916	human
3l2p_A	237	442	P49916	human
3l2p_A	237	465	P49916	human
3l2p_A	237	535	P49916	human
3l2p_A	27	535	P49916	human
3l2p_A	276	519	P49916	human
3l2p_A	276	536	P49916	human
3l2p_A	282	403	P49916	human
3l2p_A	285	353	P49916	human
3l2p_A	286	474	P49916	human
3l2p_A	320	412	P49916	human
3l2p_A	323	518	P49916	human
3l2p_A	415	531	P49916	human
3l2p_A	44	535	P49916	human
3l2p_A	60	536	P49916	human
3l2p_A	92	517	P49916	human
3l4d_A	5	417	A2TEF2	invertebrate
3l4j_A	158	268	P06786	plantfungi
3l54_A	592	719	P48736	human
3l5k_A	96	223	Q08623	human
3l6p_A	42	196	P17763	virus
3l8d_A	12	128	A0RD96	bacteria
3l8d_A	22	169	A0RD96	bacteria
3l8d_A	44	170	A0RD96	bacteria
3l9e_A	12	130	P82205	invertebrate
3l9e_A	3	154	P82205	invertebrate
3l9e_A	34	150	P82205	invertebrate
3l9e_A	4	86	P82205	invertebrate
3l9e_A	92	153	P82205	invertebrate
3l9q_A	16	74	P49643	human
3l9y_A	2	154	P82205	invertebrate
3l9y_A	3	138	P82205	invertebrate
3l9y_A	3	86	P82205	invertebrate
3l9y_A	33	149	P82205	invertebrate
3ld9_A	4	107	Q2GHN3	bacteria
3ldc_A	12	83	O27564	bacteria
3ldl_A	115	376	P11021	human
3ldl_A	5	376	P11021	human
3lf2_A	1	238	Q9HYA2	bacteria
3lf2_A	1	99	Q9HYA2	bacteria
3lf2_A	104	173	Q9HYA2	bacteria
3lf2_A	111	234	Q9HYA2	bacteria
3lf2_A	123	199	Q9HYA2	bacteria
3lf2_A	132	253	Q9HYA2	bacteria
3lf2_A	156	254	Q9HYA2	bacteria
3lf2_A	18	98	Q9HYA2	bacteria
3lf2_A	2	175	Q9HYA2	bacteria
3lf2_A	2	197	Q9HYA2	bacteria
3lf2_A	3	115	Q9HYA2	bacteria
3lf2_A	4	142	Q9HYA2	bacteria
3lf2_A	5	254	Q9HYA2	bacteria
3lf2_A	88	251	Q9HYA2	bacteria
3lfu_A	12	73	P03018	bacteria
3lfu_A	205	355	P03018	bacteria
3lfu_A	206	374	P03018	bacteria
3lfu_A	23	102	P03018	bacteria
3lfu_A	538	604	P03018	bacteria
3lfu_A	6	95	P03018	bacteria
3lgb_A	4	120	P20457	plantfungi
3lhf_A	1	136	Q97XB5	bacteria
3lhf_A	4	97	Q97XB5	bacteria
3lij_A	119	228	Q5CS01	invertebrate
3lij_A	70	274	Q5CS01	invertebrate
3lij_A	73	228	Q5CS01	invertebrate
3lij_A	88	273	Q5CS01	invertebrate
3lj8_A	68	137	Q99956	human
3ljc_A	114	240	P0A9M0	bacteria
3ljn_A	125	253	E9ADW8	invertebrate
3ljn_A	197	250	E9ADW8	invertebrate
3ljn_A	2	64	E9ADW8	invertebrate
3ljn_A	20	51	E9ADW8	invertebrate
3ljn_A	5	29	E9ADW8	invertebrate
3ljp_A	207	527	Q7X2H8	bacteria
3ljp_A	223	527	Q7X2H8	bacteria
3ljp_A	258	531	Q7X2H8	bacteria
3ljp_A	374	529	Q7X2H8	bacteria
3ljp_A	42	527	Q7X2H8	bacteria
3ljp_A	92	527	Q7X2H8	bacteria
3lkz_A	1	90	Q9Q6P4	virus
3lkz_A	53	146	Q9Q6P4	virus
3llk_A	12	216	O00391	human
3llk_A	12	242	O00391	human
3llm_A	63	222	Q08211	human
3ln6_A	311	735	Q8DXM9	bacteria
3ln6_A	475	599	Q8DXM9	bacteria
3ln6_A	475	692	Q8DXM9	bacteria
3ln6_A	506	743	Q8DXM9	bacteria
3ln7_A	518	604	Q9CM00	bacteria
3lov_A	2	84	B1YKJ9	bacteria
3lpm_A	44	200	nan	nan
3lq0_A	16	233	P07584	invertebrate
3lqb_A	97	153	Q1LW01	nonMammalVertebrate
3lqw_A	1	130	C4M4M6	invertebrate
3lqw_A	20	130	C4M4M6	invertebrate
3lqw_A	24	113	C4M4M6	invertebrate
3lqw_A	45	116	C4M4M6	invertebrate
3ls8_A	1	93	Q8NEB9	human
3ls8_A	195	543	Q8NEB9	human
3ls8_A	231	543	Q8NEB9	human
3ls8_A	267	498	Q8NEB9	human
3ls8_A	294	498	Q8NEB9	human
3ls8_A	315	498	Q8NEB9	human
3ls8_A	404	543	Q8NEB9	human
3ls9_A	21	131	Q6SJY7	bacteria
3lvq_E	161	257	P62330	human
3lvq_E	177	236	P62330	human
3lvq_E	182	257	P62330	human
3lwa_A	36	112	Q8NT71	bacteria
3lx2_A	1	228	Q5JFD3	bacteria
3lz8_A	1	70	A6TH30	bacteria
3lz8_A	1	93	A6TH30	bacteria
3m0c_C	1	118	P01130	human
3m0c_C	1	141	P01130	human
3m0c_C	1	42	P01130	human
3m1d_A	1	79	Q13490	human
3m1d_A	21	72	Q13490	human
3m1m_A	1	163	Q54324	bacteria
3m3i_A	1	58	E9AES8	invertebrate
3m3p_A	26	95	Q1H479	bacteria
3m3p_A	4	103	Q1H479	bacteria
3m3p_A	4	121	Q1H479	bacteria
3m3p_A	4	177	Q1H479	bacteria
3m3p_A	4	195	Q1H479	bacteria
3m3p_A	4	245	Q1H479	bacteria
3m3p_A	44	196	Q1H479	bacteria
3m3p_A	45	245	Q1H479	bacteria
3m3p_A	49	104	Q1H479	bacteria
3m3p_A	68	116	Q1H479	bacteria
3m3p_A	72	177	Q1H479	bacteria
3m4p_A	144	250	C4LWW8	invertebrate
3m6a_A	1	472	P37945	bacteria
3m6a_A	101	163	P37945	bacteria
3m6a_A	102	216	P37945	bacteria
3m6a_A	107	274	P37945	bacteria
3m6a_A	14	492	P37945	bacteria
3m6a_A	15	227	P37945	bacteria
3m6a_A	54	160	P37945	bacteria
3m6a_A	63	121	P37945	bacteria
3m6a_A	66	232	P37945	bacteria
3m6a_A	66	260	P37945	bacteria
3m6a_A	66	280	P37945	bacteria
3m6a_A	71	210	P37945	bacteria
3m70_A	115	228	P45134	bacteria
3m70_A	119	192	P45134	bacteria
3m70_A	121	212	P45134	bacteria
3m7k_A	1	141	D5MNX7	bacteria
3m7k_A	31	140	D5MNX7	bacteria
3m7k_A	36	123	D5MNX7	bacteria
3m7k_A	62	141	D5MNX7	bacteria
3m9l_A	1	174	Q4K5L5	bacteria
3ma2_D	33	170	P50281	human
3ma2_D	5	170	P50281	human
3ma6_A	1	195	Q9BJF5	invertebrate
3ma6_A	20	155	Q9BJF5	invertebrate
3ma6_A	20	200	Q9BJF5	invertebrate
3mag_A	145	263	P07617	virus
3mag_A	145	282	P07617	virus
3mag_A	22	262	P07617	virus
3mag_A	38	273	P07617	virus
3mag_A	40	236	P07617	virus
3mag_A	5	268	P07617	virus
3mag_A	61	248	P07617	virus
3mag_A	7	239	P07617	virus
3mag_A	8	126	P07617	virus
3mag_A	9	287	P07617	virus
3maj_A	115	263	Q6N563	bacteria
3maj_A	116	295	Q6N563	bacteria
3maj_A	70	269	Q6N563	bacteria
3maj_A	80	294	Q6N563	bacteria
3mb8_A	55	138	Q2HXR2	invertebrate
3mbt_A	1	145	P0A901	bacteria
3mc1_A	87	213	Q97LY2	bacteria
3mc1_A	88	186	Q97LY2	bacteria
3mdn_A	52	118	Q5LRU5	bacteria
3mdx_A	1	134	Q2YRG4	bacteria
3mdx_A	17	134	Q2YRG4	bacteria
3mdx_A	28	113	Q2YRG4	bacteria
3mdx_A	37	134	Q2YRG4	bacteria
3mdx_A	56	134	Q2YRG4	bacteria
3mdx_A	75	134	Q2YRG4	bacteria
3mdx_A	92	134	Q2YRG4	bacteria
3mfr_A	119	220	O14936	human
3mfr_A	51	212	O14936	human
3mfr_A	70	220	O14936	human
3mgh_A	4	319	Q9UGP5	human
3mmg_A	1	218	P09814	virus
3mmg_A	28	218	P09814	virus
3mnd_A	32	147	Q8WRF5	invertebrate
3mnd_A	35	129	Q8WRF5	invertebrate
3mpo_A	9	48	Q03T33	bacteria
3mpo_A	9	64	Q03T33	bacteria
3mtl_A	98	209	Q00536	human
3mtn_A	123	231	Q9UK80	human
3mtn_A	123	257	Q9UK80	human
3mtn_A	123	314	Q9UK80	human
3mtn_A	148	314	Q9UK80	human
3mtn_A	49	314	Q9UK80	human
3mup_A	1	102	Q13490	human
3muu_A	1	242	P03316	virus
3muu_A	243	624	P03316	virus
3mvd_K	14	128	P25171	invertebrate
3mwu_A	310	444	A3FQ16	invertebrate
3mwu_A	365	439	A3FQ16	invertebrate
3mwu_A	399	443	A3FQ16	invertebrate
3mwy_W	122	632	P32657	plantfungi
3mwy_W	198	459	P32657	plantfungi
3mxm_B	105	224	Q91XB0	nonHumanMammal
3mxm_B	68	221	Q91XB0	nonHumanMammal
3n3w_A	1	145	Q9PM40	bacteria
3n3w_A	120	144	Q9PM40	bacteria
3n3w_A	17	145	Q9PM40	bacteria
3n3w_A	32	129	Q9PM40	bacteria
3n3w_A	33	145	Q9PM40	bacteria
3n3w_A	61	145	Q9PM40	bacteria
3n40_P	1	402	Q1H8W5	virus
3n40_P	1	74	Q1H8W5	virus
3n40_P	59	402	Q1H8W5	virus
3n41_A	1	56	Q1H8W5	virus
3n4p_A	1	100	P16732	virus
3n4p_A	1	118	P16732	virus
3n4p_A	1	217	P16732	virus
3n5e_A	7	220	P04818	human
3n6l_A	1	463	D3K0N8	virus
3n70_A	1	142	A0A0H2VDI2	bacteria
3n7x_A	1	300	Q9E2G5	virus
3n90_A	128	145	O22160	plantfungi
3n90_A	36	125	O22160	plantfungi
3n90_A	40	94	O22160	plantfungi
3n90_A	6	49	O22160	plantfungi
3n90_A	99	115	O22160	plantfungi
3n9x_A	113	167	nan	nan
3n9y_A	342	472	P05108	human
3n9y_A	362	472	P05108	human
3nap_A	1	265	Q9QEY5	virus
3nap_A	1	38	Q9QEY5	virus
3nap_A	3	244	Q9QEY5	virus
3nap_A	38	265	Q9QEY5	virus
3nap_A	75	191	Q9QEY5	virus
3nap_B	1	248	Q9QEY5	virus
3nap_B	1	53	Q9QEY5	virus
3nap_B	1	72	Q9QEY5	virus
3nap_B	110	217	Q9QEY5	virus
3nap_B	66	218	Q9QEY5	virus
3nap_B	72	242	Q9QEY5	virus
3nap_C	1	112	Q9QEY5	virus
3nap_C	1	145	Q9QEY5	virus
3nap_C	1	277	Q9QEY5	virus
3nap_C	1	56	Q9QEY5	virus
3nap_C	1	91	Q9QEY5	virus
3nap_C	104	262	Q9QEY5	virus
3nap_C	113	189	Q9QEY5	virus
3nap_C	51	144	Q9QEY5	virus
3nap_C	56	262	Q9QEY5	virus
3nap_C	81	192	Q9QEY5	virus
3nas_A	92	181	O06995	bacteria
3nb2_A	25	98	A0A0H3JDV8	bacteria
3nc1_C	76	171	P62826	human
3ndq_A	1	98	P23193	human
3nf1_A	106	181	Q07866	human
3nf1_A	106	199	Q07866	human
3nf1_A	16	266	Q07866	human
3nf1_A	16	284	Q07866	human
3nf1_A	42	228	Q07866	human
3ngm_A	108	208	Q6WER3	plantfungi
3ngm_A	109	224	Q6WER3	plantfungi
3ngm_A	109	241	Q6WER3	plantfungi
3ngm_A	132	261	Q6WER3	plantfungi
3ngm_A	14	250	Q6WER3	plantfungi
3ngm_A	14	266	Q6WER3	plantfungi
3ngm_A	4	223	Q6WER3	plantfungi
3ngm_A	48	223	Q6WER3	plantfungi
3ngm_A	50	206	Q6WER3	plantfungi
3ngm_A	65	229	Q6WER3	plantfungi
3ngm_A	70	211	Q6WER3	plantfungi
3ngm_A	77	181	Q6WER3	plantfungi
3ngq_A	14	132	Q96LI5	human
3ngq_A	19	233	Q96LI5	human
3nh9_A	1	274	Q9NP58	human
3nkh_A	1	220	nan	nan
3nkh_A	112	219	nan	nan
3nkh_A	125	203	nan	nan
3nkh_A	128	220	nan	nan
3nkh_A	147	221	nan	nan
3nkh_A	30	201	nan	nan
3nks_A	1	293	P50336	human
3nks_A	2	277	P50336	human
3nl0_A	18	474	Q9QCE4	virus
3nma_A	111	396	Q9QCE4	virus
3nma_A	163	396	Q9QCE4	virus
3nma_A	165	464	Q9QCE4	virus
3nmr_A	3	129	Q92879	human
3nmr_A	3	66	Q92879	human
3nne_A	90	312	Q7X2H8	bacteria
3no2_A	1	263	A5ZFJ0	bacteria
3noc_D	1	135	nan	nan
3noc_D	18	134	nan	nan
3noc_D	27	155	nan	nan
3noc_D	35	128	nan	nan
3noc_D	46	154	nan	nan
3noc_D	5	155	nan	nan
3noc_D	55	127	nan	nan
3npc_A	124	221	P45984	human
3nr9_A	202	259	P49760	human
3nuh_A	134	366	P0AES4	bacteria
3nuh_B	300	355	P0AES6	bacteria
3nuq_A	133	245	P53078	plantfungi
3nyn_A	268	446	P43250	human
3nyv_A	308	453	Q9BJF5	invertebrate
3nyv_A	365	455	Q9BJF5	invertebrate
3nzm_A	5	99	P74750	bacteria
3o0d_A	9	279	Q9P8F7	plantfungi
3o0z_A	1	130	nan	nan
3o0z_A	1	153	nan	nan
3o2r_A	1	122	Q9PM40	bacteria
3o2r_A	1	140	Q9PM40	bacteria
3o2r_A	1	95	Q9PM40	bacteria
3o2r_A	17	141	Q9PM40	bacteria
3o38_A	182	244	A0R4Z8	bacteria
3o4h_A	432	532	Q9YBQ2	bacteria
3o53_A	33	248	Q7Q5N3	invertebrate
3o53_A	8	44	Q7Q5N3	invertebrate
3o8s_A	1	110	nan	nan
3o8s_A	1	127	nan	nan
