16vp_A	3	304	P06492	virus
2vbc_A	1	164	Q2TN89	virus
2vbc_A	1	601	Q2TN89	virus
2vbc_A	141	269	Q2TN89	virus
2vbc_A	150	337	Q2TN89	virus
2vbc_A	178	269	Q2TN89	virus
2ve7_A	38	155	Q9HBM1	human
2vf1_A	1	494	Q9Q1V2	virus
2vga_A	1	195	P24766	virus
2vga_A	1	38	P24766	virus
2vga_A	37	195	P24766	virus
2vge_A	1	138	Q8WUF5	human
2viu_A	1	321	P03437	virus
2vj1_A	1	301	A7J8L3	virus
2vkp_A	2	103	Q96KE9	human
2vof_A	1	146	Q07440	nonHumanMammal
2vpj_A	1	229	Q53G59	human
2vpj_A	138	266	Q53G59	human
2vpj_A	225	288	Q53G59	human
2vri_A	4	145	P0C6U6	virus
2vri_A	4	174	P0C6U6	virus
2vrs_A	1	154	Q992I2	virus
2vrs_A	1	206	Q992I2	virus
2vrs_A	154	206	Q992I2	virus
2vsm_A	1	409	Q9IH62	virus
2vsm_A	21	414	Q9IH62	virus
2vty_A	1	145	O57173	virus
2vty_A	1	32	O57173	virus
2vty_A	32	145	O57173	virus
2vuv_A	2	130	Q3KVL7	invertebrate
2vux_A	9	269	Q7LG56	human
2vvw_A	1	119	Q01220	virus
2vvw_A	1	151	Q01220	virus
2vvw_A	1	88	Q01220	virus
2vvw_A	17	84	Q01220	virus
2vvw_A	18	147	Q01220	virus
2vvw_A	33	112	Q01220	virus
2vvy_A	1	120	P24772	virus
2vvy_A	1	143	P24772	virus
2vvy_A	17	106	P24772	virus
2w25_A	7	130	P96896	bacteria
2w2g_A	1	122	P0C6U8	virus
2w2g_A	1	258	P0C6U8	virus
2w2g_A	129	258	P0C6U8	virus
2w2r_A	12	116	P08325	virus
2w2r_A	12	185	P08325	virus
2w2s_A	9	164	Q6JAM6	virus
2w45_A	1	450	P03217	virus
2w45_A	1	87	P03217	virus
2w45_A	2	411	P03217	virus
2w45_A	26	446	P03217	virus
2w45_A	39	416	P03217	virus
2w45_A	92	380	P03217	virus
2w45_A	92	428	P03217	virus
2w45_A	92	450	P03217	virus
2w45_A	93	412	P03217	virus
2w4b_A	1	457	P03217	virus
2w4b_A	2	417	P03217	virus
2w4e_A	3	76	Q9RSC1	bacteria
2w59_A	30	212	nan	nan
2w5e_A	10	146	Q3ZN04	virus
2w5e_A	117	163	Q3ZN04	virus
2w5e_A	8	163	Q3ZN04	virus
2w69_A	2	195	P31343	virus
2w9z_B	14	203	P11802	human
2wa1_A	1	35	Q8QL64	virus
2wa1_A	207	227	Q8QL64	virus
2wa1_A	34	227	Q8QL64	virus
2waz_X	1	107	P03265	virus
2waz_X	1	316	P03265	virus
2waz_X	107	178	P03265	virus
2waz_X	179	276	P03265	virus
2waz_X	87	192	P03265	virus
2waz_X	9	88	P03265	virus
2wb0_X	4	88	P03265	virus
2wb1_A	193	470	B8YB53	bacteria
2wb1_A	193	801	B8YB53	bacteria
2wb1_A	247	464	B8YB53	bacteria
2wb1_A	247	799	B8YB53	bacteria
2wb1_A	259	510	B8YB53	bacteria
2wb1_A	263	438	B8YB53	bacteria
2wb1_A	264	470	B8YB53	bacteria
2wb1_A	266	793	B8YB53	bacteria
2wb1_A	28	793	B8YB53	bacteria
2wb1_A	28	809	B8YB53	bacteria
2wb1_A	3	809	B8YB53	bacteria
2we0_A	1	248	P03195	virus
2we0_A	112	231	P03195	virus
2we0_A	112	248	P03195	virus
2we0_A	20	248	P03195	virus
2we1_A	1	87	P03195	virus
2we3_A	70	205	P03195	virus
2wgh_A	1	172	P23921	human
2wgh_A	1	645	P23921	human
2wgh_A	105	550	P23921	human
2wgh_A	107	645	P23921	human
2wgh_A	112	594	P23921	human
2wgh_A	113	566	P23921	human
2wgh_A	124	645	P23921	human
2wgh_A	125	547	P23921	human
2wgh_A	126	481	P23921	human
2wgh_A	137	565	P23921	human
2wgh_A	140	250	P23921	human
2wgh_A	141	545	P23921	human
2wgh_A	141	645	P23921	human
2wgh_A	148	489	P23921	human
2wgh_A	153	440	P23921	human
2wgh_A	169	278	P23921	human
2wgh_A	193	566	P23921	human
2wgh_A	193	645	P23921	human
2wgh_A	214	645	P23921	human
2wgh_A	217	550	P23921	human
2wgh_A	24	645	P23921	human
2wgh_A	258	492	P23921	human
2wgh_A	288	623	P23921	human
2wgh_A	305	645	P23921	human
2wgh_A	306	529	P23921	human
2wgh_A	306	613	P23921	human
2wgh_A	324	563	P23921	human
2wgh_A	346	550	P23921	human
2wgh_A	412	644	P23921	human
2wgh_A	43	645	P23921	human
2wgh_A	59	550	P23921	human
2wgh_A	59	645	P23921	human
2wgh_A	61	137	P23921	human
2wgh_A	72	613	P23921	human
2wgh_A	75	645	P23921	human
2wgh_A	91	645	P23921	human
2whx_A	1	583	Q2YHF0	virus
2whx_A	132	319	Q2YHF0	virus
2whx_A	149	251	Q2YHF0	virus
2wj8_A	1	375	P03418	virus
2wng_A	141	308	P78324	human
2wpo_A	28	231	P16753	virus
2wpo_A	6	231	P16753	virus
2wr0_A	1	489	D0VWP8	virus
2wr3_A	1	486	D0VWP9	virus
2wr7_A	1	474	Q67333	virus
2wrd_C	1	482	Q0A2X3	virus
2wre_A	1	472	Q0A2X3	virus
2wrf_A	1	487	Q67326	virus
2wrh_I	89	160	P26562	virus
2wv9_A	1	602	P05769	virus
2wv9_A	173	286	P05769	virus
2wv9_A	173	321	P05769	virus
2wv9_A	173	350	P05769	virus
2wv9_A	22	173	P05769	virus
2wv9_A	22	602	P05769	virus
2wvj_A	2	161	P04183	human
2wy3_B	1	138	P16757	virus
2wyy_A	1	415	P03521	virus
2wzl_A	1	108	P0C569	virus
2wzq_A	148	208	Q2YHF0	virus
2wzq_A	9	582	Q2YHF0	virus
2x47_A	47	190	Q9BQ69	human
2x47_A	47	227	Q9BQ69	human
2x47_A	57	140	Q9BQ69	human
2x4g_A	127	283	Q9HVG0	bacteria
2x4g_A	2	167	Q9HVG0	bacteria
2x4g_A	2	301	Q9HVG0	bacteria
2x4g_A	2	58	Q9HVG0	bacteria
2x4g_A	2	74	Q9HVG0	bacteria
2x5i_A	1	206	Q6W9E5	virus
2x5i_A	1	278	Q6W9E5	virus
2x5i_A	34	206	Q6W9E5	virus
2x5i_A	4	189	Q6W9E5	virus
2x5i_A	54	245	Q6W9E5	virus
2x5i_A	54	278	Q6W9E5	virus
2x5i_B	1	223	Q6W9E5	virus
2x5i_B	1	253	Q6W9E5	virus
2x5i_B	1	47	Q6W9E5	virus
2x5i_B	47	253	Q6W9E5	virus
2x5i_C	1	195	Q6W9E5	virus
2x5i_C	1	239	Q6W9E5	virus
2x5i_C	100	221	Q6W9E5	virus
2x5i_C	43	239	Q6W9E5	virus
2x5i_C	46	159	Q6W9E5	virus
2x5i_C	75	239	Q6W9E5	virus
2x5i_C	78	158	Q6W9E5	virus
2x5i_D	16	62	Q6W9E5	virus
2x7l_M	1	58	P04616	virus
2x9m_A	1	420	O89343	virus
2x9m_A	170	397	O89343	virus
2xa0_A	23	135	P10415	human
2xau_A	100	591	P53131	plantfungi
2xau_A	107	248	P53131	plantfungi
2xau_A	181	384	P53131	plantfungi
2xau_A	182	493	P53131	plantfungi
2xau_A	204	347	P53131	plantfungi
2xau_A	48	439	P53131	plantfungi
2xau_A	65	629	P53131	plantfungi
2xau_A	79	433	P53131	plantfungi
2xau_A	95	501	P53131	plantfungi
2xeh_A	1	154	nan	nan
2xeh_A	18	142	nan	nan
2xeh_A	21	158	nan	nan
2xhu_A	1	514	O92972	virus
2xhu_A	1	563	O92972	virus
2xhv_A	1	45	O92972	virus
2xhv_A	1	515	O92972	virus
2xhv_A	1	564	O92972	virus
2xi1_A	1	102	nan	nan
2xi1_B	1	101	nan	nan
2xi2_A	1	30	P27958	virus
2xi2_A	1	515	P27958	virus
2xi2_A	1	563	P27958	virus
2xi5_A	77	134	A5HC98	virus
2xn4_A	40	260	O95198	human
2xn4_A	85	279	O95198	human
2xt1_B	5	99	nan	nan
2xwh_A	1	513	P26660	virus
2xwh_A	1	562	P26660	virus
2xwy_A	15	491	P26663	virus
2xwy_A	15	508	P26663	virus
2xym_A	1	515	Q99IB8	virus
2xym_A	1	564	Q99IB8	virus
2yab_A	5	279	Q8VDF3	nonHumanMammal
2ygb_A	1	534	P68440	virus
2ygc_A	10	543	P68440	virus
2yhf_A	2	62	Q9NY25	human
2ykg_A	24	444	O95786	human
2ykg_A	25	181	O95786	human
2ykg_A	5	185	O95786	human
2ykg_A	5	444	O95786	human
2ykm_A	1	559	P03366	virus
2ykn_A	1	559	P03366	virus
2ynf_A	1	558	P04585	virus
2ynf_A	419	557	P04585	virus
2ynf_B	1	407	P04585	virus
2yoj_A	1	522	O92972	virus
2yoj_A	1	564	O92972	virus
2yol_A	1	47	P06935	virus
2yp2_A	1	341	K7N5L2	virus
2yp2_A	1	492	K7N5L2	virus
2yp2_A	341	451	K7N5L2	virus
2yp7_A	1	340	I2D7A8	virus
2yp7_A	1	491	I2D7A8	virus
2yq0_A	1	119	Q76SB0	virus
2yu0_A	5	93	P0DOV1	nonHumanMammal
2yyz_A	16	220	Q9WYQ2	bacteria
2z0l_A	1	300	P03191	virus
2z16_A	4	153	A4PIH9	virus
2z1m_A	1	166	O67175	bacteria
2z1m_A	1	71	O67175	bacteria
2z1m_A	2	143	O67175	bacteria
2z1m_A	2	89	O67175	bacteria
2z1m_A	5	267	O67175	bacteria
2z1m_A	52	165	O67175	bacteria
2z83_A	1	427	P27395	virus
2z83_A	132	273	P27395	virus
2z83_A	244	427	P27395	virus
2zan_A	42	204	P46467	nonHumanMammal
2zan_A	7	227	P46467	nonHumanMammal
2ze2_A	1	553	P03366	virus
2zjo_A	1	112	P29846	virus
2zjo_A	1	445	P29846	virus
2zjo_A	146	261	P29846	virus
2znl_A	1	422	P03433	virus
2ztn_A	1	473	Q1AHU7	virus
2ztn_A	31	103	Q1AHU7	virus
2zu2_A	1	301	P0C6U2	virus
2zzq_A	1	142	P29326	virus
2zzq_A	1	484	P29326	virus
2zzq_A	1	56	P29326	virus
3agx_A	70	175	P25685	human
3ajr_A	41	117	Q97BK3	bacteria
3al4_A	1	322	C3W5S1	virus
3alq_R	1	144	P20333	human
3alq_R	10	82	P20333	human
3alq_R	2	109	P20333	human
3alw_A	1	405	Q9GJT3	nonHumanMammal
3alx_A	1	408	Q9GJT3	nonHumanMammal
3alz_A	1	418	P08362	virus
3alz_B	1	110	Q9GJT3	nonHumanMammal
3alz_B	1	87	Q9GJT3	nonHumanMammal
3ara_A	1	112	P33316	human
3asp_A	1	312	Q8JW44	virus
3asp_A	57	312	Q8JW44	virus
3asp_A	75	312	Q8JW44	virus
3ast_A	1	312	Q8JW44	virus
3b43_A	164	320	D0VWS0	nonHumanMammal
3b43_A	165	479	D0VWS0	nonHumanMammal
3b43_A	181	320	D0VWS0	nonHumanMammal
3b60_A	297	420	P63359	bacteria
3b60_A	331	399	P63359	bacteria
3b60_A	332	553	P63359	bacteria
3b60_A	347	432	P63359	bacteria
3b84_A	23	114	P10074	human
3bbz_A	1	49	Q9J4L6	virus
3bdw_B	1	40	P26715	human
3bes_R	1	251	Q66793	virus
3bes_R	1	84	Q66793	virus
3bes_R	118	251	Q66793	virus
3bes_R	84	193	Q66793	virus
3bgr_A	2	555	P03366	virus
3bkj_L	5	207	A2NHM3	nonHumanMammal
3bq4_A	1	193	Q7T925	virus
3bqu_C	12	180	A2NHM3	nonHumanMammal
3bvp_A	1	135	Q38184	virus
3bvp_A	1	85	Q38184	virus
3c2t_A	1	109	Q5I3E5	virus
3c2t_A	14	126	Q5I3E5	virus
3c2t_A	61	126	Q5I3E5	virus
3c5x_C	1	82	Q3BCY3	virus
3c5x_C	34	82	Q3BCY3	virus
3c6l_A	4	182	nan	nan
3c8j_A	1	107	Q64329	nonHumanMammal
3ca9_A	4	113	Q5I3E5	virus
3cbl_A	60	356	P07332	human
3cbl_A	78	340	P07332	human
3cdu_A	1	133	P03313	virus
3cdu_A	1	151	P03313	virus
3cdu_A	1	463	P03313	virus
3cdu_A	117	359	P03313	virus
3cdu_A	151	347	P03313	virus
3cdu_A	151	365	P03313	virus
3cdu_A	167	359	P03313	virus
3cdu_A	17	463	P03313	virus
3cdu_A	199	359	P03313	virus
3cdu_A	217	347	P03313	virus
3cdw_H	1	10	nan	nan
3cji_B	1	239	Q155Z9	virus
3cji_B	1	60	Q155Z9	virus
3ckz_A	1	386	Q6DPL2	virus
3ckz_A	33	382	Q6DPL2	virus
3cl2_A	1	386	Q6DPL2	virus
3cl2_A	33	382	Q6DPL2	virus
3cl4_A	1	359	P15776	virus
3cl4_A	111	248	P15776	virus
3cl5_A	1	359	P15776	virus
3cl5_A	111	248	P15776	virus
3cm8_A	1	436	Q9EA60	virus
3cnc_A	1	197	Q67711	virus
3cww_A	25	118	P14735	human
3cww_A	25	322	P14735	human
3cww_A	25	377	P14735	human
3cye_A	1	386	Q9IGQ6	virus
3cye_A	33	382	Q9IGQ6	virus
3d11_A	1	427	Q9IH62	virus
3d23_B	2	302	P0C6U3	virus
3d2u_A	1	209	P08560	virus
3d2u_A	1	282	P08560	virus
3d2u_A	178	272	P08560	virus
3d31_A	15	215	Q8TTZ3	bacteria
3dlk_A	1	553	P03366	virus
3dls_A	108	220	Q96RG2	human
3dls_A	127	214	Q96RG2	human
3dls_A	66	214	Q96RG2	human
3dls_A	71	236	Q96RG2	human
3dls_A	83	214	Q96RG2	human
3dls_A	98	236	Q96RG2	human
3dmj_A	1	533	A7YKL0	virus
3dmj_A	104	226	A7YKL0	virus
3dmj_A	142	236	A7YKL0	virus
3dmj_B	1	402	Q74596	virus
3dmq_A	517	602	nan	nan
3dok_A	1	537	A7YKL0	virus
3dpr_A	1	186	P04936	virus
3dpr_A	1	270	P04936	virus
3dpr_A	1	37	P04936	virus
3dpr_A	33	184	P04936	virus
3dpr_A	53	270	P04936	virus
3dpr_B	1	251	P04936	virus
3dpr_B	1	45	P04936	virus
3dpr_B	45	251	P04936	virus
3dpr_C	1	193	P04936	virus
3dpr_C	1	238	P04936	virus
3dpr_C	43	238	P04936	virus
3dpr_C	67	238	P04936	virus
3dpr_C	84	193	P04936	virus
3dpr_C	88	158	P04936	virus
3drp_A	1	559	P04585	virus
3drp_A	150	244	P04585	virus
3drp_A	236	319	P04585	virus
3drr_A	1	559	P04585	virus
3drr_A	421	559	P04585	virus
3drs_A	1	550	P04585	virus
3drs_A	298	438	P04585	virus
3drx_A	56	122	Q9NXV2	human
3dsh_A	13	162	Q13568	human
3dsh_A	4	205	Q13568	human
3dup_A	112	263	Q2RXX6	bacteria
3dup_A	65	244	Q2RXX6	bacteria
3e0x_A	83	120	Q97KV0	bacteria
3e57_A	76	181	Q9X1A2	bacteria
3ea9_A	1	302	P0C6U8	virus
3eay_A	25	245	Q9BQF6	human
3ecg_A	1	100	P04584	virus
3ehr_A	57	178	Q92882	human
3ehw_A	70	140	P33316	human
3eiq_A	109	335	P60842	human
3eiq_A	128	298	P60842	human
3eiq_A	152	282	P60842	human
3eiq_A	152	350	P60842	human
3eiq_A	239	335	P60842	human
3eiq_A	27	298	P60842	human
3eiq_A	272	335	P60842	human
3eiq_A	31	365	P60842	human
3eiq_A	32	349	P60842	human
3eiq_A	47	278	P60842	human
3eiq_A	47	298	P60842	human
3eiq_A	7	335	P60842	human
3elu_A	1	50	D0VX01	virus
3elu_A	222	274	D0VX01	virus
3elu_A	50	248	D0VX01	virus
3eml_A	364	449	P29274	human
3eml_A	382	431	P29274	human
3eml_A	382	449	P29274	human
3eox_A	146	371	P05121	human
3eox_A	16	371	P05121	human
3ewq_A	1	141	P0C6U2	virus
3ewq_A	1	168	P0C6U2	virus
3ewq_A	11	108	P0C6U2	virus
3exv_A	1	198	P35774	virus
3exw_A	1	199	P15141	virus
3f0y_A	1	199	Q8V791	virus
3f4f_A	1	115	P33317	plantfungi
3f4f_A	21	139	P33317	plantfungi
3f62_A	4	109	Q85319	virus
3f8y_A	3	185	P00374	human
3f9e_A	1	298	P0C6U8	virus
3f9f_A	1	300	P0C6U8	virus
3f9k_A	1	205	P04584	virus
3f9k_A	1	56	P04584	virus
3f9k_A	42	160	P04584	virus
3fhd_A	1	111	P88925	virus
3fhd_A	1	457	P88925	virus
3fhd_A	1	57	P88925	virus
3fhd_A	1	95	P88925	virus
3fhd_A	2	129	P88925	virus
3fhd_A	57	457	P88925	virus
3fk9_A	1	113	Q9K704	bacteria
3fk9_A	1	131	Q9K704	bacteria
3fk9_A	21	121	Q9K704	bacteria
3fk9_A	22	64	Q9K704	bacteria
3fk9_A	24	140	Q9K704	bacteria
3fku_A	2	324	Q6J8F6	virus
3fmg_A	1	236	P12476	virus
3fmo_B	66	231	Q9UMR2	human
3fmp_B	66	229	Q9UMR2	human
3fql_A	5	510	Q9WMX2	virus
3fql_A	5	561	Q9WMX2	virus
3fqm_A	1	161	Q9WMX2	virus
3fqm_A	1	79	Q9WMX2	virus
3fqm_A	61	143	Q9WMX2	virus
3fqm_A	61	161	Q9WMX2	virus
3frz_A	1	515	P26663	virus
3frz_A	1	563	P26663	virus
3fvc_A	1	560	P03188	virus
3fvq_A	138	196	Q5FA19	bacteria
3fvq_A	21	213	Q5FA19	bacteria
3fzd_A	1	297	P0C6U8	virus
3g13_A	1	153	Q180L7	bacteria
3gol_A	1	512	O92972	virus
3gol_A	1	541	O92972	virus
3grn_A	5	139	Q8PYE2	bacteria
3gsz_A	1	510	P26661	virus
3gsz_A	1	559	P26661	virus
3gyn_A	1	510	P26663	virus
3gyn_A	1	558	P26663	virus
3gzf_A	1	97	Q98VG9	virus
3gzu_A	1	782	B2BMD1	virus
3gzu_A	22	782	B2BMD1	virus
3h0g_A	334	856	P36594	plantfungi
3h0g_A	51	1121	P36594	plantfungi
3h0g_A	52	1088	P36594	plantfungi
3h0g_A	52	859	P36594	plantfungi
3h0g_I	1	112	O74635	plantfungi
3h0g_I	54	112	O74635	plantfungi
3h0g_I	71	112	O74635	plantfungi
3h41_A	183	306	Q736M3	bacteria
3h41_A	199	306	Q736M3	bacteria
3h7i_A	110	164	P13319	virus
3h98_A	3	512	P26663	virus
3h98_A	3	537	P26663	virus
3hag_A	1	469	Q9IVZ8	virus
3hd4_A	1	132	P03416	virus
3hf1_A	141	280	Q7LG56	human
3hf1_A	158	279	Q7LG56	human
3hf1_A	17	280	Q7LG56	human
3hf1_A	28	209	Q7LG56	human
3hf1_A	36	280	Q7LG56	human
3hf1_A	53	280	Q7LG56	human
3hhw_A	1	74	P04880	virus
3hju_A	117	177	Q99685	human
3hju_A	59	237	Q99685	human
3hju_A	73	141	Q99685	human
3hju_A	93	238	Q99685	human
3hkw_A	1	513	P26664	virus
3hkw_A	1	562	P26664	virus
3hkw_A	116	397	P26664	virus
3hkw_A	150	326	P26664	virus
3hkw_A	150	402	P26664	virus
3hkw_A	150	471	P26664	virus
3hkw_A	168	469	P26664	virus
3hkw_A	208	325	P26664	virus
3hkw_A	271	364	P26664	virus
3hkw_A	502	562	P26664	virus
3hmg_A	1	329	P03437	virus
3hnc_A	107	201	P23921	human
3hnc_A	125	198	P23921	human
3hnc_A	27	169	P23921	human
3hqi_A	210	281	O43791	human
3hsl_X	1	288	Q77ZG5	virus
3hve_A	1	79	Q9H2C0	human
3hve_A	19	108	Q9H2C0	human
3hve_A	19	199	Q9H2C0	human
3hve_A	51	198	Q9H2C0	human
3hve_A	79	165	Q9H2C0	human
3hve_A	93	216	Q9H2C0	human
3hw3_A	5	171	Q9Q0U9	virus
3hza_A	21	129	P9WNS5	bacteria
3i32_A	4	121	Q72GF3	bacteria
3i3n_A	135	260	Q9NVR0	human
3i3n_A	153	242	Q9NVR0	human
3i3n_A	153	262	Q9NVR0	human
3i3n_A	40	234	Q9NVR0	human
3i3n_A	40	261	Q9NVR0	human
3i3n_A	5	261	Q9NVR0	human
3i3n_A	62	226	Q9NVR0	human
3i3n_A	62	262	Q9NVR0	human
3i3n_A	8	125	Q9NVR0	human
3i3n_A	97	256	Q9NVR0	human
3i5k_A	1	512	Q99IB8	virus
3i5k_A	1	529	Q99IB8	virus
3i5k_A	1	567	Q99IB8	virus
3i5k_A	280	371	Q99IB8	virus
3i5x_A	147	356	P15424	plantfungi
3i5x_A	270	383	P15424	plantfungi
3i5x_A	287	392	P15424	plantfungi
3i5x_A	314	398	P15424	plantfungi
3i5x_A	36	382	P15424	plantfungi
3i5x_A	57	358	P15424	plantfungi
3i5x_A	57	398	P15424	plantfungi
3iay_A	157	849	P15436	plantfungi
3iay_A	213	834	P15436	plantfungi
3iay_A	214	800	P15436	plantfungi
3iay_A	220	322	P15436	plantfungi
3iay_A	284	841	P15436	plantfungi
3iay_A	300	835	P15436	plantfungi
3iay_A	373	834	P15436	plantfungi
3iay_A	486	682	P15436	plantfungi
3iay_A	613	679	P15436	plantfungi
3iay_A	619	695	P15436	plantfungi
3ihp_A	35	223	P45974	human
3inb_A	1	379	P08362	virus
3irx_A	1	556	P03366	virus
3isn_C	1	557	P03366	virus
3it8_D	1	178	Q9DHW0	virus
3it8_D	1	300	Q9DHW0	virus
3it8_D	163	300	Q9DHW0	virus
3it8_D	199	286	Q9DHW0	virus
3itq_A	17	199	Q81LZ8	bacteria
3itq_A	56	197	Q81LZ8	bacteria
3iyn_Q	47	125	nan	nan
3iyp_F	125	251	P08174	human
3iyp_F	88	252	P08174	human
3izo_A	1	456	P12538	virus
3izo_F	1	14	nan	nan
3j1p_A	1	206	F5BXG7	virus
3j1p_A	25	297	F5BXG7	virus
3j1p_A	6	190	F5BXG7	virus
3j1p_A	6	297	F5BXG7	virus
3j1q_A	1	518	Q6JC41	virus
3j27_A	1	496	P14340	virus
3j27_A	386	496	P14340	virus
3j27_B	1	73	P14340	virus
3j2v_C	1	147	P03149	virus
3j34_A	3	232	Q79791	virus
3j70_D	1	471	P04578	virus
3j7g_A	1	422	P03101	virus
3j8f_7	130	307	P15151	human
3j8f_7	147	307	P15151	human
3j8f_7	2	307	P15151	human
3j8f_7	6	291	P15151	human
3j8f_7	76	307	P15151	human
3j9a_A	1	82	nan	nan
3j9b_A	52	472	Q91R78	virus
3j9p_D	235	258	O75762	human
3j9s_A	1	398	P18610	virus
3jax_A	825	939	A0A0R4I956	invertebrate
3jax_A	860	939	A0A0R4I956	invertebrate
3jbd_7	4	98	nan	nan
3jbg_7	5	100	nan	nan
3jbh_A	845	963	A0A140UGH3	invertebrate
3jbh_A	877	962	A0A140UGH3	invertebrate
3jbh_A	912	962	A0A140UGH3	invertebrate
3jbh_A	945	962	A0A140UGH3	invertebrate
3jca_A	1	263	P03365	virus
3jca_A	42	173	P03365	virus
3jcl_A	1	1068	P11224	virus
3jcl_A	277	468	P11224	virus
3jcl_A	482	735	P11224	virus
3jcl_A	662	712	P11224	virus
3jcl_A	711	1067	P11224	virus
3jcl_A	735	1067	P11224	virus
3jrv_A	1	143	P68466	virus
3jrv_A	1	77	P68466	virus
3jrv_A	80	143	P68466	virus
3jsb_A	147	173	P14240	virus
3jsm_A	1	555	P03366	virus
3jtx_A	2	228	A0A0U1RIH4	bacteria
3jw8_A	118	289	Q99685	human
3jw8_A	14	291	Q99685	human
3jw8_A	17	145	Q99685	human
3jw8_A	17	171	Q99685	human
3jw8_A	17	233	Q99685	human
3jw8_A	17	89	Q99685	human
3jw8_A	179	289	Q99685	human
3jw8_A	39	190	Q99685	human
3jw8_A	54	226	Q99685	human
3jw8_A	56	291	Q99685	human
3jw8_A	87	147	Q99685	human
3jz7_A	1	196	P97792	nonHumanMammal
3k36_A	1	390	Q3S340	virus
3k38_A	1	390	Q3S340	virus
3k8t_A	1	202	P21524	plantfungi
3k8t_A	1	641	P21524	plantfungi
3k8t_A	1	93	P21524	plantfungi
3k8t_A	202	503	P21524	plantfungi
3k8t_A	205	639	P21524	plantfungi
3k8t_A	229	511	P21524	plantfungi
3k8t_A	235	533	P21524	plantfungi
3k8t_A	289	503	P21524	plantfungi
3k8t_A	318	427	P21524	plantfungi
3k8t_A	328	513	P21524	plantfungi
3k8t_A	347	507	P21524	plantfungi
3k8t_A	364	454	P21524	plantfungi
3k8t_A	364	474	P21524	plantfungi
3k8t_A	364	533	P21524	plantfungi
3k8t_A	365	511	P21524	plantfungi
3k8t_A	369	639	P21524	plantfungi
3k8t_A	404	511	P21524	plantfungi
3k8t_A	404	558	P21524	plantfungi
3k8t_A	405	533	P21524	plantfungi
3k8t_A	440	505	P21524	plantfungi
3k8t_A	76	638	P21524	plantfungi
3kas_B	1	157	Q8AZ57	virus
3kea_A	133	226	Q6IV60	virus
3kea_A	176	239	Q6IV60	virus
3kea_A	2	284	Q6IV60	virus
3kea_A	2	68	Q6IV60	virus
3kea_A	2	90	Q6IV60	virus
3kea_A	23	83	Q6IV60	virus
3kea_A	24	151	Q6IV60	virus
3kea_A	30	118	Q6IV60	virus
3kea_A	30	209	Q6IV60	virus
3kea_A	33	284	Q6IV60	virus
3kea_A	6	122	Q6IV60	virus
3kea_A	64	199	Q6IV60	virus
3kea_A	65	116	Q6IV60	virus
3kea_A	65	151	Q6IV60	virus
3kea_A	65	229	Q6IV60	virus
3kea_A	92	229	Q6IV60	virus
3kea_A	92	284	Q6IV60	virus
3kea_A	99	192	Q6IV60	virus
3kic_A	1	521	O56139	virus
3kjv_B	1	401	P04585	virus
3kld_A	3	107	nan	nan
3kle_A	1	561	P03366	virus
3kle_B	1	419	P03366	virus
3klf_A	1	554	P03366	virus
3klh_A	1	559	P03366	virus
3klv_A	3	140	Q9QCE3	virus
3kmq_A	1	142	Q9QCE3	virus
3krk_A	140	539	Q05769	nonHumanMammal
3krk_A	3	552	Q05769	nonHumanMammal
3krk_A	38	487	Q05769	nonHumanMammal
3krk_A	58	551	Q05769	nonHumanMammal
3ks4_A	1	126	Q8JPY0	virus
3ks4_A	1	65	Q8JPY0	virus
3ks4_A	65	126	Q8JPY0	virus
3ku3_A	2	325	C7S226	virus
3ku5_A	2	323	C7S226	virus
3ku6_A	2	323	C7S226	virus
3kw0_A	1	186	Q74NK7	bacteria
3kz4_A	1	32	P17462	virus
3kz4_A	1	782	P17462	virus
3kz4_A	22	782	P17462	virus
3kz4_C	1	398	P18610	virus
3l2p_A	10	178	P49916	human
3l2p_A	109	535	P49916	human
3l2p_A	2	535	P49916	human
3l2p_A	203	414	P49916	human
3l2p_A	203	446	P49916	human
3l2p_A	203	481	P49916	human
3l2p_A	203	517	P49916	human
3l2p_A	229	410	P49916	human
3l2p_A	237	535	P49916	human
3l2p_A	276	536	P49916	human
3l2p_A	336	414	P49916	human
3l2p_A	415	531	P49916	human
3l2p_A	44	535	P49916	human
3l2p_A	92	517	P49916	human
3l88_G	1	184	Q2KS96	virus
3la6_A	32	102	P76387	bacteria
3ld1_A	1	360	P0C6V5	virus
3ljn_A	197	250	E9ADW8	invertebrate
3ljn_A	2	64	E9ADW8	invertebrate
3lkz_A	1	51	Q9Q6P4	virus
3lkz_A	1	90	Q9Q6P4	virus
3lkz_A	221	262	Q9Q6P4	virus
3lkz_A	51	250	Q9Q6P4	virus
3lqw_A	1	130	C4M4M6	invertebrate
3lqw_A	20	130	C4M4M6	invertebrate
3lqw_A	61	126	C4M4M6	invertebrate
3lvq_E	161	257	P62330	human
3ly5_A	41	212	Q9NVP1	human
3m1c_A	1	363	P89445	virus
3m1c_A	1	380	P89445	virus
3m1c_A	1	410	P89445	virus
3m1c_A	1	440	P89445	virus
3m1c_A	1	720	P89445	virus
3m1c_A	363	720	P89445	virus
3m1c_A	380	720	P89445	virus
3m1c_A	398	720	P89445	virus
3m1c_A	415	720	P89445	virus
3m1c_A	440	720	P89445	virus
3m1c_B	1	113	P28278	virus
3m1c_B	1	140	P28278	virus
3m1c_B	1	89	P28278	virus
3m1c_B	113	140	P28278	virus
